Nom piyin sans accent,Nom latin,Nom botanique,Partie employée,Saveur,Nature,Tropisme,Fonctions,Indications,Combinaisons,Mode d’emploi et dosage,Toxicité,Précautions et contre-indications,Recherche clinique,Formules de référence,Commentaires
Tian Hua Fen,Radix Trichosanthis,Trichosanthes kirilowii Maxim.,racine,"amère, légèrement douce et acide",fraîche,Shou Tai Yin Poumon et Zu Yang Ming Estomac,Clarifie la chaleur Produit des liquides / Arrête la soif / Elimine les toxiques / Traite les abcès / Draine le pus / Calme la toux,Syndrome consomptif Xiao Ke (diabétiforme) ou maladie de la chaleur ou vide de Yin avec lésion des liquides causant la soif. / Stade initial d’abcès et furoncles. / Chaleur du Poumon avec toux. / Chaleur-sécheresse du Poumon avec toux sanguinolente.,"Plus Zhi Mu, Radix Anemarrhenae pour le syndrome de consomption Xiao Ke (diabétiforme) ou la soif et la nervosité après une maladie de la chaleur épidémique ayant lésé les liquides. / Plus Lu Gen, Rhizoma Phragmitis pour la lésion des liquides et du Yin dans les maladies de la chaleur, avec soif et nervosité. / Plus Chuan Shan Jia, Squama Manitis, Zao Jiao, Fructus Gleditsiae et Jin Yin Hua, Flos Lonicerae pour les ulcères et abcès du type Yang et l’abcès du sein. / Plus Sha Shen, Radix Glehniae, Mai Men Dong, Tuber Ophiopogonis et Sheng Di Huang, Radix Rehmanniae pour le vide de Yin de l’Estomac causé par une plénitude chaleur initiale, avec soif, nervosité, sécheresse de la bouche, faim, amaigrissement.",9 à 15 g en décoction.,uniquement des effets secondaires en cas d’injection de trichosanthine.,"diarrhée par froid vide de la Rate et de l’Estomac; absence de plénitude chaleur, la grossesse.","abortif, antibactérien, antitumoral.",Chai Hu Qing Gan Tang / Gua Lou Gui Zhi Tang,"cette herbe est contraire à Gan Jiang, Rhizoma Zingiberis Exsiccata, Niu Xi, Radix Achyranthis, Wu Tou, Radix Aconiti."
Tian Zhu Huang,Concretio Silicea Bambusae,Bambusa textilis McClure,exsudation,douce,froide,"Shou Shao Yin Coeur, Zu Jue Yin Foie et Zu Shao Yang Vésicule Biliaire",Clarifie et transforme les glaires-chaleur / Clarifie le Coeur / Eteint le vent / Arrête les convulsions,Glaires-chaleur dans le Poumon avec expectoration difficile. / Glaires-chaleur avec spasmes et convulsions. / Syndrome Zhong Feng (attaque apoplectiforme) avec obstruction de glaires et râle dans la gorge. / Convulsions infantiles.,"Plus Zhu Sha, Cinnabaris, Yu Jin, Radix Curcumae, Huang Liah, Rhizoma Coptidis, Bai Jiang Can, Bombyx Batryticatus pour les glaires-chaleur provoquant le syndrome Zhong Feng (attaque apoplectiforme). / Plus Ban Xia, Rhizoma Pinelliae pour les glaires-chaleur causant la toux avec mucosités difficiles à expectorer et douleur thoracique. / Plus Bai Jiang Can, Bombyx Batryticatus pour le vent, la chaleur et les glaires causant les convulsions, le délire, la perte de conscience accompagnés de toux et difficultés respiratoires. / Plus Shi Chang Pu, Rhizoma Acori Graminei pour la combinaison de la chaleur et de l’obstruction par les glaires dans le syndrome Zhong Feng (apoplectiforme) causant le coma.",3 à 9 g en décoction.,,,,Bao Long Wan / Li Jing Wan / Tian Zhu Huang San,
Zhe Bei Mu,Bulbus Fritillariae Thunbergii,Fritillaria thunbergii Miq.,bulbe,amère,froide,"Shou Tai Yin Poumon, Shou Shao Yin Coeur",Humidifie le Poumon / Transforme les glaires / Clarifie la chaleur / Ouvre les stagnations / Elimine les toxiques / Disperse les nodosités / Calme le Shen,"Plénitude chaleur et glaires-chaleur du Poumon avec toux et expectoration de mucosités jaunes et épaisses. / Vent-chaleur attaquant le Poumon avec toux et expectoration jaune et épaisse. / Glaires et chaleur toxique formant des nodules, abcès, furoncles.","Plus Sang Ye, Folium Mori, Niu Bang Zi, Fructus Arctii et Ku Xing Ren, Semen Armeniacae Amarae pour l’attaque de vent-chaleur causant la toux. / Plus Lian Qiao, Fructus Forsythiae et Niu Bang Zi, Fructus Arctii pour l’attaque externe de vent-chaleur avec toux aiguë, bouche sèche, irritation de la gorge, mucosités jaunes et épaisses. / Plus Xuan Shen, Radix Scrophulariae, Mu Li, Concha Ostreae et Xia Ku Cao, Spica Prunellae pour les glaires-chaleur formant des nodules douloureux. / Plus Hai Piao Xiao, Os Sepiae pour neutraliser l’acidité et la douleur de l’Estomac. / Plus Jin Yin Hua, Flos Lonicerae, Pu Gong Ying, Herba Taraxaci et Ju Hua, Flos Chrysanthemi Morifolii pour les abcès et autres gonflements toxiques. / Plus Yi Yi Ren, Semen Coicis, Dong Gua Ren, Semen Benincasae et Yu Xing Cao, Herba Hout- tuyniae pour l’abcès du Poumon par accumulation de glaires-chaleur.",3 à 9 g en décoction. Précautions et contre-indications : vide de Rate.,"la dose léthale par injection chez l’animal était de 9 mg/kg. Les symptômes étaient l’affaiblissement de la respiration, la mydriase, les tremblements et la mort.",,"antitussif, stimulant utérin, hypoglycémiant.",Er Mu San,"cette herbe est incompatible avec Wu Tou, Radix Aconiti."
Zhu Ru,Caulis Bambusae in Taeniis,Bambusa breviflora Munro,fibres,douce,fraîche,"Shou Tai Yin Poumon, Zu Yang Ming Estomac et Zu Shao Yang Vésicule Biliaire",Clarifie la chaleur / Transforme les glaires-chaleur / Calme le Shen / Arrête le vomissement / Rafraîchit le Sang / Calme le foetus,"Chaleur du Poumon avec toux et expectoration jaune et épaisse, oppression de la poitrine ou hémoptysie. / Glaires-chaleur de la Vésicule Biliaire perturbant le Shen et causant l’irritabilité, la nervosité, l’insomnie, les palpitations, l’oppression de la poitrine, la toux avec des expectorations jaunes. / Chaleur de l’Estomac avec nausées et vomissements amers ou acides, haleine fétide, crainte de la chaleur. / Chaleur du Sang avec épistaxis ou hématémèse.","Plus Huang Qin, Radix Scutellariae et Gua Lou, Fructus Trichosanthis pour la chaleur du Poumon avec toux et expectoration jaune et épaisse. / Plus Zhi Shi, Fructus Citri Immaturus, Chen Pi, Pericarpium Citri Reticulatae et Fu Ling, Sclero- tium Poriae pour les glaires-chaleur perturbant le Shen et causant la nervosité, l’insomnie, les palpitations, l’oppression de la poitrine, la toux avec des expectorations jaunes. / Plus Huang Lian, Rhizoma Coptidis, Chen Pi, Pericarpium Citri Reticulatae, Ban Xia, Tuber Pinelliae et Sheng Jiang, Rhizoma Zingiberis Recens pour la chaleur de l’Estomac avec nausées et vomissements. / Plus Dang Shen, Radix Codonopsitis et Gan Cao, Radix Glycyrrhizae pour le vide de l’Estomac combiné à la chaleur et causant le hoquet. / Plus Lu Gen, Rhizoma Phragmitis pour la chaleur lésant les liquides et causant la nervosité, la soif, le vomissement.",6 à 9 g en décoction.,,"toux par pénétration du froid; diarrhée par vide de Rate, vomissements et nausées par froid de l’Estomac ou stagnation alimentaire froide.",antibactérien.,"Ju Pi Zhu Ru Tang / Wen Dan Tang / Bai Bu, Radix Stemonae / Ku Xing Ren, Semen Armeniacae Amarae / Kuan Dong Hua, Flos Farfarae / Ma Dou Ling, Fructus Aristolochiae / Mu Hu Die, Semen Oroxyli / Pi Pa Ye, Folium Eriobotryae / Sang Bai Pi, Cortex Mori Radicis / Zi Su Zi, Fructus Perillae / Zi Wan, Radix Asteris",
Bai Bu,Radix Stemonae,Stemona sessilifolia (Miq.) et Sav.,racine,douce et amère,légèrement tiède à neutre,Shou Tai Yin Poumon,Humidifie le Poumon / Transforme les glaires / Arrête la toux / Elimine les poux / Chasse les vers,Sécheresse du Poumon par vide de Yin avec toux chronique ou paroxystique et peu ou pas d’expee toration. / Attaque de vent-froid causant le rhume avec toux. / Poux et parasites intestinaux.,"Plus Sha Shen, Radix Glehniae pour la chaleur du Poumon lésant le Qi et les liquides avec toux chronique ou sèche. / Plus Bai Qian, Radix Cynanchi Stauntoni pour le blocage du Qi du Poumon avec toux et dyspnée chroniques. / Plus Chuan Bei Mu, Bulbus Fritillariae Cirrhosae pour les glaires-chaleur causant la toux et la douleur thoracique. / Plus Ku Shen, Radix Sophorae en décoction à 50% comme lotion externe contre les poux. / Décoction à 100% comme lavement contre les oxyures. / Décoction à 20% en irrigation vaginale contre le trichomonas.",3 à 9 g en décoction.,,vide de Rate ou selles molles.,"antiparasitique, antifongique, antibactérien, anthelmintHique.",Bai Bu Tang / Bai Bu Wan / Zhi Sou Wan,
Ku Xing Ren,Semen Armeniacae Amarae,Prunus armeniaca L. var. ansu Maxim.,amande du fruit,amère,tiède et légèrement toxique,Shou Tai Yin Poumon et Shou Yang Ming Gros Intestin,Arrête la toux / Calme la dyspnée / Humidifie les Intestins / Favorise l’évacuation des selles,"Attaque externe de vent-chaleur avec toux. / Chaleur-sécheresse perturbant le Poumon et causant la toux sèche. / Accumulation de chaleur dans le Poumon, toux et asthme. / Sécheresse des Intestins et constipation.","Plus Sang Ye, Folium Mori et Ju Hua, Flos Chrysanthemi Morifolii pour l’attaque externe de vent- chaleur avec toux. / Plus Ma Huang, Herba Ephedrae et Zhi Gan Cao, Radix Glycyrrhizae cum melle tosta pour l’attaque externe de vent-froid avec toux. / Plus Sang Ye, Folium Mori, Chuan Bei Mu, Bulbus Fritillariae Cirrhosae et Sha Shen, Radix Glehniae pour la chaleur-sécheresse perturbant le Poumon et causant la toux. / Plus Sheng Shi Gao, Gypsum Fibrosum et Ma Huang, Herba Ephedrae pour l’attaque externe de vent-chaleur ou l’accumulation de chaleur dans le Poumon avec toux et asthme. / Plus Ma Huang, Herba Ephedrae, Gui Zhi, Ramulus Cinnamomi et Zhi Gan Cao, Radix Glycyrrhizae cum melle tosta pour l’asthme par vent-froid. / Plus du sucre cristallisé pour la toux chronique chez les vieilles personnes. / Plus Huo Ma Ren, Semen Cannabis et Dang Gui, Radix Angelicae Sinensis pour la sécheresse des Intestins et la constipation. / Plus Zi Su Ye, Folium Perillae pour le vent-froid externe causant la toux sèche.",3 à 9 g en décoction (concasser avant utilisation).,"un surdosage peut causer des éblouissements, de la céphalée, des vomissements, de la dyspnée, des spasmes, la dilatation des pupilles, l’arhytmie et finalement le coma. La dose létale chez l’adulte est estimée à 60 amandes et chez l’enfant à 10 amandes. La décoction et l’absence du péricarpe diminuent considérablement la toxicité.","cette herbe est légèrement toxique. Il faut éviter le surdosage, surtout chez les enfants. Toux par vide de Yin; diarrhée.","antitussif, hypotenseur, anti-asthmatique, antibactérien, antiparasitique, analgésique.",Ma Xing Shi Gan Tang / Ma Zi Ren Wan / Run Chang Wan Xing Su San,un grillage ou une cuisson à la vapeur préalable réduisent la toxicité de cette herbe.
Kuan Dong Hua,Flos Farfarae,Tussilago farfara L.,fleur,"piquante, douce",tiède,Shou Tai Yin Poumon,Humidifie le Poumon / Descend le Qi / Elimine les glaires / Arrête la toux,"Froid du Poumon avec toux, respiration difficile, gonflement de la gorge. / Froid vide du Poumon avec toux chronique. / Toux diverses.","Plus Ku Xing Ren, Semen Armeniacae Amarae pour l’amas de glaires causant la toux et la dyspnée. / Plus Wu Wei Zi, Fructus Schisandrae et Ban Xia, Tuber Pinelliae pour la congestion de liquides causant la toux. / Plus Bai Qian, Radix Cynanchi Stauntoni pour la stagnation de Qi et de glaires causant la toux. / Plus Bai He, Bulbus Lilii pour le vide de Yin avec toux sèche ou hémoptysie.",3 à 9 g en décoction.,un surdosage peut causer l’apnée et la syncope. LD50 chez la souris est de 112g/kg.,vide de Yin du Poumon et chaleur.,"antitussif, expectorant, anti-spasmodique bronchique, anti-asthmatique.",Bai Hua Wan / Kuan Dong Hua San / Zi Wan San,l’herbe non préparée réchauffe le Poumon. L’herbe préparée au miel humidifie et nourrit le Poumon et calme la toux.
Ma Dou Ling,Fructus Aristolochiae,Aristolochia debilis Sieb.et Zucc.,fruit,amère et légèrement piquante,froide,Shou Tai Yin Poumon et Shou Yang Ming Gros Intestin,Clarifie la chaleur du Poumon / Descend le Qi / Transforme les glaires / Arrête la toux / Calme l’asthme / Clarifie la chaleur du Gros Intestin,"Chaleur du Poumon avec toux et asthme et expectoration abondante de mucosités jaunes et éventuellement aphonie, constipation. / Chaleur-sécheresse du Poumon avec toux sèche. / Vide de Yin du Poumon avec toux et peu d’expectoration ou hémoptysie. / Chaleur du Gros Intestin avec hémorroïdes douloureuses et saignantes. / Montée du Yang du Foie avec yeux et visage rouges et vertige.","Plus Pi Pa Ye, Folium Eriobotryae, Qian Hu, Radix Peucedani, Sang Bai Pi, Cortex Mori Radicis et Huang Qin, Radix Scutellariae pour la chaleur du Poumon avec toux, asthme et expectoration abondante de mucosités jaunes. / Plus Sha Shen, Radix Glehniae, Mai Men Dong, Tuber Ophiopogonis, Zi Wan, Radix Asteris et E Jiao, Colla Corii Asini pour le vide de Yin du Poumon avec toux et peu d’expectoration ou hémoptysie. / Plus Huang Qin, Radix Scutellariae, Xia Ku Cao, Spica Prunellae et Gou Teng, Ramulus Uncariae cum Uncis pour la montée du Yang du Foie avec yeux et visage rouges et vertige.",3 à 9 g en décoction.,,toux par froid plénitude ou vide; vide de la Rate et diarrhée.,"hypotenseur, antibactérien, antifongique, expectorant, antitumoral, anti-infectieux, immunisant, phagocytique.",E Jiao San / Ma Dou Ling San,"l’herbe préparée au miel Zhi Ma Dou Ling, Fructus Aristolochiae cum melle tosta nourrit le Poumon et arrête la toux."
Mu Hu Die,Semen Oroxyli,Oroxylum indicum (L.) Vent.,grains,douce et fade,fraîche,Shou Tai Yin Poumon et Zu Jue Yin / Foie,Clarifie les Poumons / Favorise la voix / Règle le Qi du Foie / Favorise la guérison d’abcès suppurants.,"Chaleur du Poumon avec toux, mal de gorge, voix, rauque. / Stagnation du Qi du Foie avec douleur épigastrique et des flancs. / Lésions de la peau et abcès suppurants.","Plus Pang Da Hai, Semen Sterculiae et Chan Tui, Periostracum Cicadae pour la chaleur du Poumon avec toux sèche, voix rauque, gonflement et douleur de la gorge. / Plus Xiang Fu, Rhizoma Cyperi et Chuan Lian Zi, Fructus Meliae pour la stagnation du Qi du Foie et de l’Estomac avec douleurs épigastriques et hypo- chondriaques.","1,5 à 6 g en décoction.",,,,,
Pi Pa Ye,Folium Eriobotryae,Eriobotrya japonica (Thunb.) / Lindl.,feuille,amère,fraîche à neutre,Shou Tai Yin Poumon et Zu Yang / Ming Estomac,Clarifie le Poumon / Elimine les glaires / Harmonise l’Estomac / Descend le Qi contraire / Arrête le vomissement,"Vent-chaleur attaquant le Poumon avec toux productive. / Chaleur-sécheresse du Poumon avec toux sèche. / Chaleur du Poumon avec toux et asthme. / Chaleur de l’Estomac avec nausées et vomissements, hoquet, renvois.","Plus Sang Bai Pi, Cortex Mori Radicis et Jie Geng, Radix Platycodi pour la chaleur du Poumon avec toux et asthme. / Plus Zhu Ru, Çaulis Bambusae in Taeniis et Lu Gen, Rhizoma Phragmitis pour la chaleur de l’Estomac et la lésion des liquides avec nausées et vomissements. / Plus Ku Xing Ren, Semen Armeniacae Amarae pour la chaleur du Poumon avec toux peu productive, douleur thoracique et gorge sèche. / Plus Huang Qin, Radix Scutellariae et Xiang Fu, Rhizoma Cyperi pour la chaleur de l’Estomac avec vomissements et nausées. / Plus Bai Mao Gen, Rhizoma Imperatae pour les maladies de la chaleur avec hématémèse.",9 à 15 g en décoction.,,vomissements par froid du Centre; toux par vent-froid externe.,"antibactérien, antiviral, expectorant, antitussif, anti-asthmatique, analgésique.",Gan Lu Yin / Pi Pa Ye San / Qing Zao Jiu Fei Tang / Xin Yi Qing Fei Tang,la préparation au miel favorise l’humidification du Poumon et l’arrêt de la toux (Zhi Pi Pa Ye). La préparation au gingembre est utilisée pour arrêter le vomissement et la nausée (Jiang Pi Pa Ye).
Sang Bai Pi,Cortex Mori Radicis,Morus Alba L.,écorce de la racine,douce,froide,Shou Tai Yin Poumon et Zu Tai Yin Rate,Clarifie le feu du Poumon / Transforme les glaires / Calme la dyspnée / Mobilise les liquides / Favorise la diurèse,"Chaleur du Poumon avec toux ou asthme et expectoration abondante. / Rétention d’eau-liquides du Poumon avec oppression et plénitude thoracique, toux avec expectoration liquide, oedème du visage, dyspnée. / Dysurie et oedème.","Plus Di Gu Pi, Cortex Lycii Radicis et Gan Cao, Radix Glycyrrhizae pour la chaleur du Poumon avec toux ou asthme et expectoration abondante. / Plus Ma Huang, Herba Ephedrae, Ku Xing Ren, Semen Armeniacae Amarae et Xi Xin, Herba Asari cum Radice pour la rétention d’eau-liquides du Poumon avec toux, dyspnée, oedème facial, oppression thoracique. / Plus Da Fu Pi, Pericarpium Arecae et Fu Ling Pi, Cortex Sclerotii Poriae pour la dysurie et l’oedème.",9 à 18 g en décoction.,,toux par vent- froid; vide du Poumon; mictions abondantes.,"hypotenseur, inhibiteur cardiaque, vasoconstricteur, stimulant intestinal, stimulant utérin, diurétique, sédatif, tranquillisant, antitussif, expectorant, anti-asthmatique.",Qing Fei Tang / Wu Pi Yin / Xie Bai San,"l’herbe non préparée réduit l’oedème. L’herbe préparée au miel, Mi Sang Bai Pi, Cortex Mori Radicis cum melle tosta clarifie la chaleur du Poumon et arrête la toux."
Fructus Perillae,Semen Perillae,Perilla frutscens (L.) Britt. var crispa (Thunb:) Hand.-Mazz.,feuilles et tiges,piquante,tiède,"Shou Tai Yin Poumon, Shou Yang Ming Gros Intestin et Zu Tai Yin Rate",Descend le Qi / Elimine les glaires / Calme la dyspnée / Arrête la toux / Humidifie les Intestins / Favorise l’évacuation des selles,"Accumulation de glaires-liquides et Qi contraire du Poumon avec toux accompagnée de mucosités abondantes et liquides ou asthme avec plénitude et oppression thoracique et hypochondriaque, principalement quand l’expiration est plus difficile que l’inspiration. / Sécheresse des Intestins avec constipation.","Plus Bai Jie Zi, Semen Sinapis Albae et Lai Fu Zi, Semen Raphani pour l’accumulation de glaires-liquides et Qi contraire du Poumon avec toux accompagnée de mucosités abondantes et liquides ou asthme avec plénitude et oppression thoracique et hypochondriaque. / Plus Huo Ma Ren, Semen Cannabis, Gua Lou Ren, Semen Trichosanthis et Ku Xing Ren, Semen Armeniacae Amarae pour la sécheresse des Intestins avec constipation. / Plus Zhe Bei Mu, Bulbus Fritillariae Thunbergii pour l’amas de glaires avec toux et dyspnée et expectoration de mucosités abondantes et troubles. / Plus Ban Xia, Tuber Pinelliae pour le Qi contraire et les glaires causant la toux et la dyspnée. / Plus Bai Qian, Radix Cynanchi Stauntoni pour la stagnation de Qi et de glaires avec toux et dyspnée.",3 à 10 g en décoction (moudre avant utilisation).,,vide de Qi a- vec diarrhée.,,Xiang Su Yin / Zi Su Tang / Zi Su Yin,
Zi Wan,Radix Asteris,Aster tataricus L.,rhizome,"amère, piquante, douce",légèrement tiède,Shou Tai Yin Poumon,Humidifie le Poumon / Descend le Qi contraire / Elimine les glaires / Arrête la toux,Attaque externe causant la toux avec expectoration abondante. / Vide du Poumon avec toux et peu d’expectoration ou hémoptysie.,"Plus Jing Jie, Herba Schizonepetae et Bai Qian, Radix Cynanchi Stauntoni pour l’attaque externe causant la toux avec expectoration abondante. / Plus Zhi Mu, Rhizoma Anemarrhenae, Chuan Bei Mu, Bulbus Fritillariae Cirrhosae et E Jiao, Colla Corii Asini pour le vide du Poumon avec toux et peu d’expectoration ou hémoptysie. / Plus Kuan Dong Hua, Flos Farfarae pour la toux et la dyspnée accompagnées d’expectoration abondante. / Plus Bai Bu, Radix Stemonae pour la toux chronique avec hémoptysie. / Plus Wu Wei Zi, Fructus Schisandrae pour la toux vide accompagnée de transpiration spontanée. / Plus Tian Men Dong, Tuber Asparagi, Huang Qin, Radix Scutellariae et Sang Bai Pi, Cortex Mori Radicis pour la chaleur résiduelle causant la toux chronique, l’hémoptysie ou l’expectoration purulente et sanguinolente.",3 à 9 g en décoction.,,toux par vide de Yin et chaleur.,"antibactérien, antiviral, expectorant, antifongique, ‘antitussif, antitumoral. / Zi Wan Tang",,"l’herbe non préparée ventile et adoucit le Poumon et transforme les glaires. L’herbe préparée au miel, Zhi Zi Wan, Radix Asteris cum melle tosta humidifie le Poumon et réduit l’hémoptysie. / Bai Zhu, Rhizoma Atractylodis Albae / Da Zao, Fructus Zizyphi Jujubae / Dang Shen, Radix Codonopsitis / Gan Cao, Radix Glycyrrhizae / (Zhi Gan Cao, Radix Glycyrrhizae cum melle tosta) / Huang Jing, Rhizoma Polygonati / Huang Qi, Radix Astragali / Ren Shen, Radix Ginseng / Shan Yao, Radix Dioscoreae / Tai Zi Shen, Radix Pseudostellariae / Yi Tang, Sacharum Granorum"
Rhizoma Atractylodis Albae,Rhizoma Atractylodis Macrocephalae,Atractylodes Macrocephala Koidz.,rhizome,amer et doux,tiède,"Zu Tai Yin Rate, / Zu Yang Ming Estomac",Tonifie la Rate et favorise le Qi / Fortifie la Rate et assèche l’humidité / Stabilise le Biao et arrête la transpiration / Favorise la diurèse,"Vide de la Rate et de l’Estomac avec fatigue, perte de l’appétit, diarrhée, vomissement. / □ Vide du Yang de la Rate et accumulation d’humidité avec problèmes digestifs, oedème, diminution de la diurèse. / Vide de Qi avec transpiration spontanée.","Plus Zhi Shi, Fructus Citri Immaturus pour le ballonnement abdominal et la stagnation d’aliments. / Plus Fu Ling, Sclerotium Poriae pour la congestion de liquides par vide de Rate, avec oppression de la poitrine et oedème. / Plus Gan Jiang, Rhizoma Zingiberis Exsiccata pour le froid vide du Centre avec douleurs abdominales, ballonnement, vomissement, diarrhée. / Plus Cang Zhu, Rhizoma Atractylodis Lanceae pour renforcer l’élimination de l’humidité. / Plus Huang Qi, Radix Astragali et Fu Xiao Mai, Fructus Tritici Levis pour la transpiration spontanée par vide de la surface. / Plus Huang Qin, Radix Scutellariae, pour l’agitation du foetus.",5 à 10 g en décoction.,,vide de Yin avec chaleur vide.,"diurétique, hypoglycémiant sanguin, augmentation de l’endurance, tonique, anticoagulant, vasodilatateur, active la phagocytose, protège le foie.",Bu Zhong Yi Qi Tang / Si Jun Zi Tang / Zhen Wu Tang,"pour tonifier la Rate et l’Estomac, il y a avantage à utiliser la forme grillée Chao Bai Zhu, Rhizoma Atractylodis Albae tosta."
Da Zao,Fructus Zizyphi Jujubae,Rehd.,fruit séché,doux,neutre,"Zu Tai Yin Rate, / Zu Yang Ming Estomac","Tonifie la Rate et favorise l’Estomac / Nourrit le Ying Qi, / Humidifie la sécheresse, / Calme le Shen / Harmonise et tempère les effets des autres herbes","Vide de Rate et d’Estomac, avec débilité, fatigue, manque de souffle. / Vide de Rate et du Coeur ou stagnation du Qi du Foie causant la 'sécheresse’ ou l’agitation des Zang (Zang Zao) avec états émotionnels sérieux, irritabilité, pleurs, comportement hystérique.","Plus Dang Shen, Radix Codonopsitis, Bai Zhu, Rhizoma Atractylodis Albae, Sheng Jiang, Rhizoma Zingiberis Recens pour le vide de la Rate et de l’Estomac. / Plus E Jiao, Colla Corii Asini pour tonifier le Ying Qi et le Sang. / Plus Gan Cao, Radix Glycyrrhizae et Fu Xiao Mai, Fructus Tritici Levis pour le syndrome de l’agitation des Zang (Zang Zao). / Plus Sheng Jiang, Rhizoma Zingiberis pour harmoniser Ying et Wei.",humidité dans le Centre avec ballonnement abdominal; parasites intestinaux.,,,"augmente l’endurance, protège le Foie, hypotenseur, fait grossir.",,"cette herbe est traditionnellement ajoutée aux formules contenant des herbes très âcres, afin de tempérer leur effet nocif sur l’Estomac (et tout particulièrement Yuan Hua, Flos Genkwa, Da Ji, Radix Euphorbiae Pekinensis, Ting Li Zi, Semen Lepidii). / Dans les formules s’adressant à la Rate et l’Estomac, on utilisera Da Zao, Fructus Zizyphi Jujubae. Dans les formules s’adressant au Coeur et au. Shen, ainsi qu’au Ying et au Sang, on utilisera Hong Zao, Fructus Zizyphi Rubrae."
Dang Shen,Radix Codonopsitis,Codonopsis Pilosula (Franch.) Nannf.,racine,doux,neutre,"Zu Tai Yin Rate, / Shou Tai Yin Poumon",Tonifie la Rate et l’Estomac / Tonifie les Poumons / Tonifie l’énergie et produit des liquides / Nourrit le Sang,"Vide de Qi du foyer moyen avec perte de l’appétit, fatigue, membres fatigués, diarrhée, vomissement. / Vide du Qi du Poumon avec toux chronique, manque de souffle, beaucoup de glaires. / Lésion des liquides.","Plus Huang Qi, Radix Astragali pour le vide du Qi de la Rate, du Qi du Poumon et du Wei Qi avec fatigue, manque de souffle, transpiration spontanée, facilement enrhumé, diarrhée, perte de l’appétit. / Plus Huang Qi, Radix Astragali, Bai Zhu, Rhizoma Atractylodis Albae, Sheng Ma, Rhizoma Cimicifugae et Chai Hu, Radix Bupleuri pour l’effondre ment du Qi central / Plus Dang Gui, Radix Angelicae Sinensis et Shu Di Huang, Radix Rehmanniae Praeparata, pour le vide général de Qi et de Sang avec éblouissements et fatigue. / Plus Bai Zhu, Rhizoma Atractylodis Albae pour le vide de la Rate avec perte de l’appétit, selles molles, vomissement.",3 à 9 g en décoction.,,,"augmente les globules rouges et blancs et l’hémoglobine, hypergtycémiant, hypotenseur, augmente l’endurance, stimulant nerveux central, augmente la phagocytose.",Ba Zhen Tang / Shen Qi Bai Zhu Tang,"le Dang Shen s’utilise volontiers pour remplacer le Ren Shen, Radix Ginseng dans toutes ces applications. Il y convient parfaitement d’autant plus qu’il est nettement moins coûteux. Le Ginseng reste cependant irremplaçable pour les indications les plus sérieuses."
Gan Cao,Radix Glycyrrhizae,Glycyrrhiza Uralensis Fisch.,racine,douce,neutre,les 12 méridiens et principalement Zu Tai Yin Rate et Shou Tai Yin Poumon,Clarifie la chaleur et élimine les toxiques / Humidifie le Poumon et règle la gorge / Clarifie le Poumon et arrête la toux,"Abcès, furoncles et autres gonflements toxiques. / Douleur de la gorge par vent-chaleur ou par montée du feu par vide de Yin. / Toux pàr glaires-chaleur.","Plus Jin Yin Hua, Flos Lonicerae, Ye Ju Hua, Flos Chrysanthem lndici, Pu Gong Ying, Herba Taraxaci, pour le traitement des abcès, furoncles, etc. par chaleur toxique. / Plus Jie Geng, Radix Platycodi pour le gonflement et la douleur de la gorge par chaleur du Poumon, principalement chez l’enfant. / Plus Bo He, Herba Menthae, Niu Bang Zi, Fructus Arctii, Shan Dou Gen, Radix Sophorae Subprostratae pour la douleur de la gorge par vent-chaleur. / Plus Xuan Shen, Radix Scrophulariae, Mai Men Dong, Tuber Ophiopogonis, Sheng Di Huang, Radix Rehmanniae pour la douleur de la gorge par montée du feu vide.",3 à 12 g en décoction.,"incompatible avec Da Ji, Radix Euphorbiae Pekinensis, Yuan Hua, Flos Genkwa, Gan Sui, Radix Kansui, Hai Zao, Herba Sargassi.un usage excessif pendant longtemps peut induire l’hypertension et l’oedème.",plénitude d’humidité; nausées; vomissements.,"augmente et prolonge l’effet de la cortisone, anti-allergique, inhibiteur des ulcères gastro-intestinaux, diminue le cholestérol, cholagogue, anitnéoplastique, détoxifiant, anti-inflammatoire, antispasmodique, antitussif, expectorant, antilipémique, antidiurétique, analgésique, anticonvulsif, antipyrétique, antibactérien.",Gan Jie Tang Yin Qiao San,le Gan Cao non préparé n’a pas tout à fait sa place dans le chapitre des herbes toniques. Il appartient de fait à la catégorie des herbes qui clarifient la chaleur. Il a été repris ici parce que dans la plupart des textes on se réfère à Gan Cao en tant qu’herbe tonifiante. On sous-entend donc qu’on réfère à la variété grillée au miel présentée ci-dessous : Zhi Gan Cao.
